,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,Income,y
1989,2003,97,61,62.9,52,53.6,85.2,3,3.1,4.9,49,50.5,80.3,9,9.3,14.8,22,22.7,11,11.3,Q,88630,72.59999999999998
1990,2004,73,53,72.59999999999998,45,61.6,84.9,7,9.6,13.2,38,52.1,71.7,8,11.0,15.1,14,19.2,6,8.2,Q,88630,76.59999999999998
1991,2005,107,82,76.59999999999998,65,60.7,79.3,6,5.6,7.3,59,55.1,72.0,17,15.9,20.7,15,14.0,4,3.7,Q,88630,79.8
1993,2001,74,16,21.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,16,21.6,100.0,48,64.9,10,13.5,R,78082,17.3
1994,2005,93,88,94.6,77,82.8,87.5,18,19.4,20.5,59,63.4,67.0,11,11.8,12.5,5,5.4,0,0.0,R,78082,95.0
1996,2001,86,86,100.0,64,74.4,74.4,37,43.0,43.0,27,31.4,31.4,22,25.6,25.6,0,0.0,0,0.0,R,78082,96.0
1997,2002,100,96,96.0,78,78.0,81.3,34,34.0,35.4,44,44.0,45.8,18,18.0,18.8,2,2.0,1,1.0,R,78082,92.3
1998,2003,104,96,92.3,85,81.7,88.5,43,41.3,44.8,42,40.4,43.8,11,10.6,11.5,6,5.8,2,1.9,R,78082,93.1
1999,2004,102,95,93.1,87,85.3,91.6,55,53.9,57.9,32,31.4,33.7,8,7.8,8.4,5,4.9,1,1.0,R,78082,97.3
2000,2005,111,108,97.3,92,82.9,85.2,44,39.6,40.7,48,43.2,44.4,16,14.4,14.8,2,1.8,0,0.0,R,78082,90.3
2002,2001,468,257,54.9,152,32.5,59.1,69,14.7,26.8,83,17.7,32.3,105,22.4,40.9,155,33.1,46,9.8,R,78082,57.4
2003,2002,521,299,57.4,197,37.8,65.9,73,14.0,24.4,124,23.8,41.5,103,19.8,34.4,138,26.5,64,12.3,R,78082,59.6
2004,2003,552,329,59.6,217,39.3,66.0,94,17.0,28.6,123,22.3,37.4,112,20.3,34.0,157,28.4,55,10.0,R,78082,62.9
2005,2004,585,368,62.9,255,43.6,69.3,103,17.6,28.0,152,26.0,41.3,113,19.3,30.7,150,25.6,57,9.7,R,78082,66.0
2006,2005,544,359,66.0,270,49.6,75.2,80,14.7,22.3,190,34.9,52.9,89,16.4,24.8,96,17.6,52,9.6,R,78082,75.4
2008,2001,591,371,62.8,256,43.3,69.0,77,13.0,20.8,179,30.3,48.2,115,19.5,31.0,136,23.0,77,13.0,R,78082,57.0
2009,2002,597,340,57.0,243,40.7,71.5,77,12.9,22.6,166,27.8,48.8,98,16.4,28.8,146,24.5,84,14.1,R,78082,62.3
2010,2003,592,369,62.3,263,44.4,71.3,71,12.0,19.2,192,32.4,52.0,106,17.9,28.7,154,26.0,55,9.3,R,78082,62.9
2011,2004,542,341,62.9,242,44.6,71.0,89,16.4,26.1,153,28.2,44.9,99,18.3,29.0,141,26.0,47,8.7,R,78082,56.4
2012,2005,566,319,56.4,228,40.3,71.5,55,9.7,17.2,173,30.6,54.2,91,16.1,28.5,129,22.8,53,9.4,R,78082,65.7
2014,2001,524,361,68.9,281,53.6,77.8,107,20.4,29.6,174,33.2,48.2,80,15.3,22.2,103,19.7,52,9.9,R,78082,65.8
2015,2002,602,396,65.8,307,51.0,77.5,94,15.6,23.7,213,35.4,53.8,89,14.8,22.5,121,20.1,65,10.8,R,78082,69.2
2016,2003,634,439,69.2,383,60.4,87.2,137,21.6,31.2,246,38.8,56.0,56,8.800000000000002,12.8,120,18.9,57,9.0,R,78082,64.6
2017,2004,540,349,64.6,302,55.9,86.5,142,26.3,40.7,160,29.6,45.8,47,8.7,13.5,134,24.8,47,8.7,R,78082,70.7
2018,2005,680,481,70.7,423,62.2,87.9,140,20.6,29.1,283,41.6,58.8,58,8.5,12.1,128,18.8,55,8.1,R,78082,70.6
2020,2001,997,760,76.2,601,60.3,79.09999999999998,262,26.3,34.5,339,34.0,44.6,160,16.0,21.1,123,12.3,94,9.4,R,78082,78.2
2021,2002,1021,798,78.2,616,60.3,77.2,258,25.3,32.3,358,35.1,44.9,182,17.8,22.8,132,12.9,67,6.6,R,78082,76.4
2022,2003,980,749,76.4,597,60.9,79.7,210,21.4,28.0,387,39.5,51.7,152,15.5,20.3,143,14.6,78,8.0,R,78082,79.0
2023,2004,948,749,79.0,600,63.3,80.09999999999998,269,28.4,35.9,331,34.9,44.2,149,15.7,19.9,111,11.7,69,7.3,R,78082,82.3
2024,2005,921,758,82.3,615,66.8,81.09999999999998,289,31.4,38.1,326,35.4,43.0,143,15.5,18.9,83,9.0,60,6.5,R,78082,83.8
2026,2001,585,439,75.0,311,53.2,70.8,132,22.6,30.1,179,30.6,40.8,128,21.9,29.2,74,12.6,47,8.0,R,78082,73.09999999999998
2027,2002,702,513,73.09999999999998,359,51.1,70.0,132,18.8,25.7,227,32.3,44.2,154,21.9,30.0,79,11.3,84,12.0,R,78082,73.4
2028,2003,732,537,73.4,374,51.1,69.6,114,15.6,21.2,260,35.5,48.4,163,22.3,30.4,97,13.3,58,7.9,R,78082,70.2
2029,2004,789,554,70.2,454,57.5,81.9,161,20.4,29.1,293,37.1,52.9,100,12.7,18.1,115,14.6,62,7.9,R,78082,69.9
2030,2005,865,605,69.9,443,51.2,73.2,166,19.2,27.4,277,32.0,45.8,162,18.7,26.8,136,15.7,51,5.9,R,78082,78.0
2032,2002,81,14,17.3,3,3.7,21.4,0,0.0,0.0,3,3.7,21.4,11,13.6,78.59999999999998,56,69.1,10,12.3,R,78082,23.4
2033,2003,64,15,23.4,5,7.8,33.3,0,0.0,0.0,5,7.8,33.3,10,15.6,66.7,33,51.6,15,23.4,R,78082,26.9
2034,2004,52,14,26.9,5,9.6,35.70000000000001,0,0.0,0.0,5,9.6,35.70000000000001,9,17.3,64.3,34,65.4,4,7.7,R,78082,27.5
2035,2005,69,19,27.5,9,13.0,47.4,0,0.0,0.0,9,13.0,47.4,10,14.5,52.6,35,50.7,8,11.6,R,78082,36.5
2037,2001,129,73,56.6,46,35.70000000000001,63.0,10,7.8,13.7,36,27.9,49.3,27,20.9,37.0,19,14.7,15,11.6,R,78082,59.4
2038,2002,133,79,59.4,53,39.8,67.1,11,8.3,13.9,42,31.6,53.2,26,19.5,32.9,29,21.8,12,9.0,R,78082,69.2
2039,2003,143,99,69.2,64,44.8,64.6,38,26.6,38.4,26,18.2,26.3,35,24.5,35.4,27,18.9,9,6.3,R,78082,56.8
2040,2004,176,100,56.8,76,43.2,76.0,20,11.4,20.0,56,31.8,56.0,24,13.6,24.0,44,25.0,22,12.5,R,78082,61.0
2041,2005,164,100,61.0,65,39.6,65.0,44,26.8,44.0,21,12.8,21.0,35,21.3,35.0,38,23.2,11,6.7,R,78082,57.7
2043,2001,220,183,83.2,183,83.2,100.0,180,81.8,98.4,3,1.4,1.6,0,0.0,0.0,34,15.5,3,1.4,R,78082,98.4
2044,2002,186,183,98.4,183,98.4,100.0,181,97.3,98.9,2,1.1,1.1,0,0.0,0.0,1,0.5,2,1.1,R,78082,98.9
2045,2003,180,178,98.9,178,98.9,100.0,175,97.2,98.3,3,1.7,1.7,0,0.0,0.0,1,0.6,1,0.6,R,78082,100.0
2046,2004,192,192,100.0,192,100.0,100.0,189,98.4,98.4,3,1.6,1.6,0,0.0,0.0,0,0.0,0,0.0,R,78082,100.0
2047,2005,224,224,100.0,224,100.0,100.0,221,98.7,98.7,3,1.3,1.3,0,0.0,0.0,0,0.0,0,0.0,R,78082,100.0
2052,2001,322,77,23.9,15,4.7,19.5,0,0.0,0.0,15,4.7,19.5,63,19.6,81.8,144,44.7,86,26.7,K,33485,55.0
2055,2001,116,85,73.3,10,8.6,11.8,10,8.6,11.8,0,0.0,0.0,75,64.7,88.2,29,25.0,2,1.7,K,33485,65.6
2056,2002,151,99,65.6,36,23.8,36.4,5,3.3,5.1,31,20.5,31.3,63,41.7,63.6,39,25.8,11,7.3,K,33485,68.9
2057,2003,132,91,68.9,51,38.6,56.0,27,20.5,29.7,24,18.2,26.4,40,30.3,44.0,28,21.2,12,9.1,K,33485,58.2
2058,2004,153,89,58.2,30,19.6,33.7,10,6.5,11.2,20,13.1,22.5,59,38.6,66.3,45,29.4,15,9.8,K,33485,60.7
2059,2005,150,91,60.7,44,29.3,48.4,19,12.7,20.9,25,16.7,27.5,47,31.3,51.6,45,30.0,11,7.3,K,33485,67.7
2062,2003,119,78,65.5,25,21.0,32.1,0,0.0,0.0,25,21.0,32.1,53,44.5,67.9,26,21.8,12,10.1,K,33485,72.4
2063,2004,105,76,72.4,32,30.5,42.1,1,1.0,1.3,31,29.5,40.8,44,41.9,57.9,17,16.2,12,11.4,K,33485,64.7
2064,2005,102,66,64.7,35,34.3,53.0,3,2.9,4.5,32,31.4,48.5,31,30.4,47.0,18,17.6,17,16.7,K,33485,77.3
2068,2003,108,58,53.7,21,19.4,36.2,3,2.8,5.2,18,16.7,31.0,37,34.3,63.8,36,33.3,13,12.0,K,33485,59.4
2069,2004,101,60,59.4,27,26.7,45.0,2,2.0,3.3,25,24.8,41.7,33,32.7,55.0,33,32.7,6,5.9,K,33485,59.4
2070,2005,106,63,59.4,24,22.6,38.1,1,0.9,1.6,23,21.7,36.5,39,36.8,61.9,27,25.5,13,12.3,K,33485,53.9
2073,2003,23,21,91.3,12,52.2,57.1,0,0.0,0.0,12,52.2,57.1,9,39.1,42.9,2,8.7,0,0.0,K,33485,82.6
2074,2004,23,19,82.6,9,39.1,47.4,0,0.0,0.0,9,39.1,47.4,10,43.5,52.6,3,13.0,1,4.3,K,33485,80.4
2075,2005,46,37,80.4,23,50.0,62.2,4,8.7,10.8,19,41.3,51.4,14,30.4,37.8,9,19.6,0,0.0,K,33485,88.4
2078,2003,108,72,66.7,11,10.2,15.3,1,0.9,1.4,10,9.3,13.9,61,56.5,84.7,24,22.2,8,7.4,K,33485,66.7
2079,2004,81,54,66.7,18,22.2,33.3,1,1.2,1.9,17,21.0,31.5,36,44.4,66.7,20,24.7,4,4.9,K,33485,63.1
2080,2005,103,65,63.1,28,27.2,43.1,1,1.0,1.5,27,26.2,41.5,37,35.9,56.9,25,24.3,6,5.8,K,33485,56.4
2082,2001,159,10,6.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10,6.3,100.0,136,85.5,13,8.2,K,33485,3.9
2083,2002,179,7,3.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,3.9,100.0,141,78.8,31,17.3,K,33485,3.1
2084,2003,129,4,3.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,3.1,100.0,94,72.9,31,24.0,K,33485,6.2
2085,2004,113,7,6.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,6.2,100.0,63,55.8,41,36.3,K,33485,3.6
2086,2005,140,5,3.6,3,2.1,60.0,0,0.0,0.0,3,2.1,60.0,2,1.4,40.0,83,59.3,49,35.0,K,33485,7.8
